name,type,imdb_score,genre,encoded_type,encoded_genre
Jessica Campbell,MOVIE,7.3,comedy,0,3
Mark Harelik,MOVIE,7.3,comedy,0,3
Phil Reeves,MOVIE,7.3,comedy,0,3
Molly Hagan,MOVIE,7.3,comedy,0,3
Delaney Driscoll,MOVIE,7.3,comedy,0,3
Colleen Camp,MOVIE,7.3,comedy,0,3
Frankie Ingrassia,MOVIE,7.3,comedy,0,3
Matt Malloy,MOVIE,7.3,comedy,0,3
Jeanine Jackson,MOVIE,7.3,comedy,0,3
Holmes Osborne,MOVIE,7.3,comedy,0,3
Loren Nelson,MOVIE,7.3,comedy,0,3
Nicholas D'Agosto,MOVIE,7.3,comedy,0,3
Emily Martin,MOVIE,7.3,comedy,0,3
Jonathan Marion,MOVIE,7.3,comedy,0,3
Amy Falcone,MOVIE,7.3,comedy,0,3
Matt Justesen,MOVIE,7.3,comedy,0,3
Nick Kenny,MOVIE,7.3,comedy,0,3
B.J. Tobin,MOVIE,7.3,comedy,0,3
Christa Young,MOVIE,7.3,comedy,0,3
David V. Wenzel,MOVIE,7.3,comedy,0,3
Joel Parks,MOVIE,7.3,comedy,0,3
Larry Kaiser,MOVIE,7.3,comedy,0,3
Marilyn Tipp,MOVIE,7.3,comedy,0,3
Jeannie Brayman,MOVIE,7.3,comedy,0,3
James Devney,MOVIE,7.3,comedy,0,3
L. Carmen Novoa,MOVIE,7.3,comedy,0,3
Jason Paige,MOVIE,7.3,comedy,0,3
Matt Golden,MOVIE,7.3,comedy,0,3
Heather Koenig,MOVIE,7.3,comedy,0,3
Jillian Crane,MOVIE,7.3,comedy,0,3
Kaitlin Ferrell,MOVIE,7.3,comedy,0,3
John Ponzio,MOVIE,7.3,comedy,0,3
Rohan Quine,MOVIE,7.3,comedy,0,3
Alexander Payne,MOVIE,7.3,comedy,0,3
Lori Petty,MOVIE,5.3,fantasy,0,8
Ice-T,MOVIE,5.3,fantasy,0,8
Naomi Watts,MOVIE,5.3,fantasy,0,8
Malcolm McDowell,MOVIE,5.3,fantasy,0,8
Jeff Kober,MOVIE,5.3,fantasy,0,8
Reg E. Cathey,MOVIE,5.3,fantasy,0,8
Scott Coffey,MOVIE,5.3,fantasy,0,8
Don Harvey,MOVIE,5.3,fantasy,0,8
Ann Cusack,MOVIE,5.3,fantasy,0,8
Iggy Pop,MOVIE,5.3,fantasy,0,8
James Hong,MOVIE,5.3,fantasy,0,8
Richard Schiff,MOVIE,5.3,fantasy,0,8
Mary Ann Hermansen,MOVIE,5.3,fantasy,0,8
Stacy Linn Ramsower,MOVIE,5.3,fantasy,0,8
Brian Wimmer,MOVIE,5.3,fantasy,0,8
Billy L. Sullivan,MOVIE,5.3,fantasy,0,8
Charles Lucia,MOVIE,5.3,fantasy,0,8
Ann Magnuson,MOVIE,5.3,fantasy,0,8
Harlan Clark,MOVIE,5.3,fantasy,0,8
Doug Jones,MOVIE,5.3,fantasy,0,8
Ata Scanlan,MOVIE,5.3,fantasy,0,8
Alvarez Wortham,MOVIE,5.3,fantasy,0,8
Roz Witt,MOVIE,5.3,fantasy,0,8
Brixton Karnes,MOVIE,5.3,fantasy,0,8
Will 'Nahkohe' Strickland,MOVIE,5.3,fantasy,0,8
Charles Robert Harden,MOVIE,5.3,fantasy,0,8
Tom Noga,MOVIE,5.3,fantasy,0,8
BoJesse Christopher,MOVIE,5.3,fantasy,0,8
John David Bland,MOVIE,5.3,fantasy,0,8
Jo Farkas,MOVIE,5.3,fantasy,0,8
Stanton Davis,MOVIE,5.3,fantasy,0,8
Jillian Balch,MOVIE,5.3,fantasy,0,8
Kane Picoy,MOVIE,5.3,fantasy,0,8
Troy Startoni,MOVIE,5.3,fantasy,0,8
Beth DePatie,MOVIE,5.3,fantasy,0,8
Clayton Landey,MOVIE,5.3,fantasy,0,8
Roger Bohman,MOVIE,5.3,fantasy,0,8
Frank Walton,MOVIE,5.3,fantasy,0,8
Richard Scott Sarafian,MOVIE,5.3,fantasy,0,8
Aaron Kuhr,MOVIE,5.3,fantasy,0,8
Kelly Cousineau,MOVIE,5.3,fantasy,0,8
Chief Gordon,MOVIE,5.3,fantasy,0,8
Jim Sullivan,MOVIE,5.3,fantasy,0,8
William A. Doyle,MOVIE,5.3,fantasy,0,8
Robert 'Rock' Galotti,MOVIE,5.3,fantasy,0,8
Peer Ebbighausen,MOVIE,5.3,fantasy,0,8
Aurorah Allain,MOVIE,5.3,fantasy,0,8
Kristie Capozzoli,MOVIE,5.3,fantasy,0,8
Anne Fletcher,MOVIE,5.3,fantasy,0,8
Carla Garrido,MOVIE,5.3,fantasy,0,8
Heather Hendricks,MOVIE,5.3,fantasy,0,8
Carolyn Kusian,MOVIE,5.3,fantasy,0,8
Letha M. Lamb,MOVIE,5.3,fantasy,0,8
Larissa Lanoue,MOVIE,5.3,fantasy,0,8
Holly Manville,MOVIE,5.3,fantasy,0,8
Corey William May,MOVIE,5.3,fantasy,0,8
Kristianne Reed,MOVIE,5.3,fantasy,0,8
Lynette Ruiz,MOVIE,5.3,fantasy,0,8
Ryoko Sawaishi,MOVIE,5.3,fantasy,0,8
Joie Shettler,MOVIE,5.3,fantasy,0,8
Wes Veldink,MOVIE,5.3,fantasy,0,8
Dee Dee Weathers,MOVIE,5.3,fantasy,0,8
