release_year,imdb_score,encoded_type,encoded_genre
1972,7.7,0,6
1955,8.0,1,1
1968,8.0,0,16
1975,7.4,0,16
1979,7.6,0,16
1977,6.2,1,3
1961,7.6,0,3
1976,7.4,0,16
1969,6.7,1,3
1973,7.7,0,4
1973,8.1,0,4
1955,7.4,0,4
1978,7.8,0,6
1972,7.1,0,16
1979,6.4,0,14
1979,7.6,0,16
1980,7.7,0,6
1952,7.7,0,13
1966,7.9,1,1
1968,7.4,1,5
1968,7.4,1,1
1968,7.9,0,16
1973,7.3,1,14
1956,7.7,0,14
1976,6.0,0,16
1953,7.0,0,14
1962,7.1,0,10
1978,6.9,0,8
1972,6.8,0,16
1970,7.9,1,3
1969,7.4,0,18
1974,6.4,0,6
1970,6.0,0,6
1968,7.6,0,3
1970,5.9,0,6
1963,6.6,0,10
1977,5.9,0,13
1960,6.2,0,10
1980,6.3,0,16
1979,8.1,1,3
1974,7.1,0,4
1976,5.9,0,8
1973,6.4,0,10
1973,5.1,1,6
1969,6.6,0,18
1953,6.4,0,3
1976,7.6,0,18
1965,6.2,0,14
1980,6.9,0,1
1969,6.3,0,6
1979,5.5,0,10
1971,7.1,0,3
1980,4.6,0,10
1963,7.1,0,18
1963,6.7,0,10
1964,5.9,0,6
1970,6.0,0,6
1953,7.0,0,18
1977,7.2,0,3
1973,6.3,0,3
1976,6.6,0,3
1977,6.8,0,16
1963,5.7,0,10
1959,6.0,0,16
1966,6.6,0,6
1959,6.7,0,10
1953,6.2,0,6
1977,4.1,0,10
1978,6.6,0,10
1963,5.0,0,16
1980,4.8,0,10
1980,6.2,0,16
1957,7.2,0,18
1962,4.4,0,10
1954,6.8,0,16
1951,6.7,0,13
1954,7.4,0,6
1966,7.0,0,3
1964,6.6,0,10
1959,4.0,0,10
1952,7.3,0,16
1980,6.5,1,2
1953,6.4,0,3
1967,6.0,0,6
1976,7.6,0,6
1965,7.1,0,18
1953,6.8,0,6
1970,4.2,0,6
1976,5.3,0,1
1980,4.7,0,16
1972,4.4,0,10
1956,6.7,0,16
1966,5.2,0,14
1962,6.8,0,10
1952,6.1,0,13
1972,6.4,0,16
1973,7.1,0,16
1980,5.0,0,10
1959,5.2,0,14
1965,5.0,0,3
1970,5.5,0,10
1973,4.9,0,16
1969,6.1,0,14
1980,6.8,0,6
1954,6.1,0,6
1966,6.4,0,6
1951,6.6,0,6
1974,6.2,0,10
1962,6.5,0,6
1972,6.1,0,16
1979,4.5,0,16
1975,4.1,0,16
1954,5.3,0,6
1962,4.7,0,8
1972,5.0,0,10
1965,4.6,0,3
1976,6.0,0,10
1966,6.4,0,3
1969,7.3,0,6
1974,7.3,0,6
1980,3.9,0,16
1952,3.7,0,10
1971,5.6,0,3
1969,6.3,0,3
1980,5.0,0,13
1952,5.1,0,1
1961,6.2,0,10
1952,7.2,0,16
1968,6.2,0,14
1958,3.8,0,10
1967,3.6,0,14
1952,5.8,0,3
1963,6.6,0,10
1963,7.3,0,5
1966,6.6,0,3
1979,4.8,0,14
1958,6.9,0,18
1964,4.9,0,13
1954,5.4,0,16
1959,3.7,0,10
1961,6.1,0,18
1964,5.1,0,11
1977,5.5,0,6
1978,5.6,0,16
1963,6.3,0,10
1960,4.8,0,13
1979,5.8,0,13
1961,4.9,0,10
1974,2.7,0,10
1967,7.0,0,6
1961,3.4,0,3
1966,5.4,0,6
1974,4.9,0,1
1969,5.4,0,6
1969,4.3,0,4
1970,5.2,0,10
1959,3.6,0,10
1975,4.1,0,3
1977,4.6,0,10
1953,2.7,0,10
1960,4.7,0,10
1954,3.4,0,14
1965,5.6,0,14
1980,3.9,0,8
1967,4.9,0,6
1976,5.1,0,8
1965,5.1,0,3
1974,5.7,0,10
1974,5.5,0,6
1953,6.1,0,16
1971,6.1,0,6
1956,4.3,0,4
1979,6.0,0,16
1965,7.7,0,5
1970,6.2,0,14
1966,4.0,0,1
1962,5.6,0,3
1969,6.3,0,6
1967,6.6,0,3
1973,5.5,0,16
1956,6.5,0,6
1979,5.4,0,16
1968,5.4,0,6
1976,5.1,0,1
1967,3.8,0,10
1970,5.4,0,6
1976,2.2,0,14
1968,6.2,0,3
1961,4.1,0,4
1977,5.6,0,10
1980,5.2,0,10
1975,5.1,0,1
1976,6.0,0,6
1975,6.1,0,16
1954,5.5,0,6
1956,4.6,0,6
1977,7.7,0,1
1976,4.4,0,10
